欧阳佩珊	郭锋	1976年郭锋拍摄电视剧《无语问苍天》时结识同剧女演员欧阳佩珊，二人相恋于1977年结婚	1
元瑛	高猛	高猛比其妻元瑛大六岁	1
司马兴男	桓温	南康公主司马兴男，嫁桓温	1
洪恩熙	刘俊相	刘俊相个人生活:2003年3月1日与韩国女演员洪恩熙（洪恩希）结婚，婚后育有两个儿子	1
洪恩熙	刘俊相	洪恩熙个人生活:2003年3月1日与韩国男演员刘俊相结婚，婚后育有两个儿子	1
姚冶诚	蒋介石	1947年8月26日，姚冶诚60岁生日，蒋介石派蒋经国夫妇和兵团司令汤恩伯等去上海为姚冶诚祝寿。	0
杜金娥	杨宗英	他的母亲杜金娥在对辽国作战时突然腹疼，在一处树林产下杨宗英，但由于形势所迫，她被迫将宗英放在树林里，并留下信物。	0
杜金娥	杨宗英	第二十四回杜金娥林中认子杨宗英阵前会敌	0
杜金娥	杨宗英	里面对宗英之死是这样描写的：第112页：杨宗英和杜金娥冲出火营，辽将耶律达拦住厮杀。	0
杜金娥	杨宗英	杨宗英来到阵前认亲和杜金娥母子相认后，宗英出征收服了辽国的先锋官姜北平。	0
谢苗	何彦霓	大梦西游幕后花絮:谢苗妻子何彦霓与丈夫同台飚戏，实现了演艺圈内难得的工作生活一起。	1
元修和	赵松庭	师从元修和及笛子大师赵松庭。	0
元修和	赵松庭	在西安音乐学院师从元修和老师，并得到赵松庭、高明等名家的指点。	0
李春江	张红	李春江在装模作样批评了张红之后，自己又在嘀咕：“你说我要不要给体校赞助一台洗衣机？”	0
卫协	曹弗兴	曹弗兴的画和汉壁画接近，线条粗扩，气魄雄健，注意人物的大体动态，不重视细部描写，而卫协改变了这种风格，比较精工细密。	0
卫协	曹弗兴	和曹弗兴比较，卫协人物画法有显著提高。	0
钟万仇	甘宝宝	钟万仇怒道：“我好端端一个【如花似玉】的老婆，要是变了跛子陈秀丽版甘宝宝，我把你的狗杂种儿子碎尸万段。”	1
钟万仇	甘宝宝	之后段誉赶往万仇谷求助于钟灵母亲甘宝宝，但因为钟万仇误会导致甘宝宝不能离开让段誉拿着钟灵生辰八字找段正淳。	0
钟万仇	甘宝宝	4人物生平:钟灵，金庸武侠小说《天龙八部》人物，段正淳与情妇“俏夜叉”甘宝宝之黄杏秀版钟灵女，养父是“见人就杀”钟万仇。	0
甄珩	甄远道	甄珩人物关系:父亲：甄远道	0
张遵	张苞	张飞孙:张遵，张苞之子，为尚书。	0
张遵	张苞	孙:张遵，张苞之子，为尚书。	0
张遵	张苞	.张苞儿子:张遵，张苞之子，为尚书。	0
张遵	张苞	张苞儿子张遵，为尚书，随诸葛瞻守于绵竹，与邓艾交战时，战死。”	0
张遵	张苞	张遵人物生平:张遵，张飞之孙、张苞之子，官至蜀尚书，随诸葛瞻与邓艾在绵竹交战，战死。	0
张遵	张苞	东西两偏殿略小，东偏殿为关羽塑像和其子关平、关兴及其部将赵累、周仓的陪祀塑像；西偏殿则是张飞及其子张苞、孙张遵的塑像。	0
张遵	张苞	，在历史上没有关于张苞过多的记载，而在三国演义中，张苞是蜀汉中期一员重要的将领，有一子张遵。	0
张遵	张苞	张遵父亲:张苞，官至侍中、尚书仆射，早逝。	0
邵氏兄弟	邵玉轩	1920年，上海“笑舞台”剧院被邵逸夫先生的父亲邵玉轩收购，后交由邵氏兄弟经营。	0
邵氏兄弟	邵玉轩	1920年，上海“笑舞台”剧院被邵逸夫先生的父亲邵玉轩收购，后交由邵氏兄弟经营。	0
邵氏兄弟	邵玉轩	近代笑舞台账册文物介绍:1920年，上海“笑舞台”剧院被邵逸夫先生的父亲邵玉轩收购，后交由邵氏兄弟经营。	0
邵氏兄弟	邵玉轩	历史发展:邵氏兄弟的父亲邵玉轩在20世纪初活跃于上海工商界，主要经营颜料生意。	0
邵氏兄弟	邵玉轩	邵氏集团历史发展:邵氏兄弟的父亲邵玉轩在20世纪初活跃于上海工商界，主要经营颜料生意。	0
腾讯	拳头	腾讯是如何一步步收购拳头的	0
